center_camera,left_camera,right_camera,steering_angle,throttle,reverse,speed
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_46_675.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_46_675.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_46_675.jpg,-0.156453,1.0,0,19.23835
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_46_782.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_46_782.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_46_782.jpg,-0.2184741,1.0,0,20.07087
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_46_895.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_46_895.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_46_895.jpg,-0.1133031,1.0,0,21.29326
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_46_996.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_46_996.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_46_996.jpg,0.0,1.0,0,22.33759
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_108.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_108.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_108.jpg,0.0,1.0,0,23.50434
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_219.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_219.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_219.jpg,0.0,1.0,0,24.46941
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_331.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_331.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_331.jpg,0.0,1.0,0,25.62398
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_439.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_439.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_439.jpg,-0.3223723,1.0,0,26.52915
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_552.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_552.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_552.jpg,0.0,1.0,0,27.64348
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_667.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_667.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_667.jpg,0.0,1.0,0,28.75515
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_777.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_777.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_777.jpg,0.0,1.0,0,29.67418
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_881.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_881.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_881.jpg,0.0,1.0,0,30.18995
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_47_994.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_47_994.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_47_994.jpg,0.0,1.0,0,30.19023
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_109.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_109.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_109.jpg,0.0,1.0,0,30.19024
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_217.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_217.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_217.jpg,0.0,1.0,0,30.19029
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_327.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_327.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_327.jpg,0.0,1.0,0,30.19028
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_439.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_439.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_439.jpg,-0.2162079,1.0,0,30.17675
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_553.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_553.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_553.jpg,0.0,1.0,0,30.18991
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_667.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_667.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_667.jpg,0.0,1.0,0,30.19024
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_770.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_770.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_770.jpg,0.0,1.0,0,30.19031
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_881.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_881.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_881.jpg,0.0,1.0,0,30.19029
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_48_984.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_48_984.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_48_984.jpg,0.0,1.0,0,30.19031
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_101.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_101.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_101.jpg,0.0,1.0,0,30.19029
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_203.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_203.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_203.jpg,-0.190617,1.0,0,30.18365
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_304.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_304.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_304.jpg,0.0,1.0,0,30.18985
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_416.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_416.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_416.jpg,0.0,1.0,0,30.19013
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_523.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_523.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_523.jpg,0.0,1.0,0,30.19029
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_627.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_627.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_627.jpg,0.0,1.0,0,30.19029
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_731.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_731.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_731.jpg,0.0,1.0,0,30.19032
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_832.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_832.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_832.jpg,0.0,1.0,0,30.19029
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_49_949.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_49_949.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_49_949.jpg,0.0,1.0,0,30.23133
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_050.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_050.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_050.jpg,0.0,1.0,0,30.18414
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_157.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_157.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_157.jpg,0.0,1.0,0,30.21411
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_260.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_260.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_260.jpg,0.0,1.0,0,30.18902
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_371.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_371.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_371.jpg,0.0,1.0,0,30.18955
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_481.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_481.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_481.jpg,0.0,1.0,0,30.18982
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_586.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_586.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_586.jpg,0.0,1.0,0,30.18991
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_691.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_691.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_691.jpg,0.0,1.0,0,30.18995
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_799.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_799.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_799.jpg,0.1326138,1.0,0,30.18502
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_50_913.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_50_913.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_50_913.jpg,0.0,1.0,0,30.18994
C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\center_2022_05_14_19_05_51_032.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\left_2022_05_14_19_05_51_032.jpg,C:\Users\crist\OneDrive\Documentos\Projects\GitHub\self_driving_car\data\IMG\right_2022_05_14_19_05_51_032.jpg,0.0,1.0,0,30.18993
